city,quality_score_mean,quality_score_median,quality_score_min,quality_score_max,quality_score_std,confidence_level_<lambda>,missing_values_percentage_mean,outlier_count_sum,SO2_mean,SO2_median,NO2_mean,NO2_median,PM2.5_mean,PM2.5_median,RSPM_mean,RSPM_median,SPM_mean,SPM_median,total_measurements
Ludhiana,82.74360161943319,83.24,58.81999999999999,88.24,5.948761415157955,0.0,16.91064939271255,427,12.227077792553192,11.0,33.278995884773664,31.0,,,218.6337128970665,225.0,343.5882352941176,317.5,6175
Lunglei,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,2.188271186440678,2.0,4.9469491525423726,5.0,,,45.82372881355932,44.0,,,590
MALDAH,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,2.5096153846153846,2.0,16.346153846153847,16.0,,,81.52884615384616,83.5,,,104
MORBI,94.12,94.12,94.12,94.12,0.0,100.0,5.880000000000001,0,13.717391304347826,14.0,20.652173913043477,21.0,33.45652173913044,33.0,93.15217391304348,94.0,,,46
Madras,78.90778014941301,82.35,52.35,82.35,4.304024575398142,0.0,20.61196371398079,42,14.874325782092772,9.1,15.861720430107527,14.1,,,,,113.32432432432432,109.0,937
Madurai,85.99569124423962,88.24,58.81999999999999,94.12,4.559465590720282,10.204081632653061,13.996079657669519,5,11.164721388895,10.55,24.41687063518457,23.0,31.6,30.6,44.91620144221563,42.66666667,103.6209089012758,94.0,3038
Mahad,87.61651933701657,88.24,58.81999999999999,94.12,6.543795647700872,31.675874769797424,12.033572744014732,38,18.42287334593573,17.0,36.94026465028356,37.0,,,159.30434782608697,133.0,191.752508361204,182.0,543
Malappuram,89.185,88.24,88.24,94.12,2.1611397886969512,16.071428571428573,10.815000000000001,0,2.0,2.0,6.961570188491072,5.0,,,37.115365873035714,33.146366665,43.3849663575,42.8953,672
Manali,86.74543003851092,88.24,70.59,88.24,4.202804261971222,0.0,13.248151476251603,1,2.265217391304348,2.0,10.400580551523948,9.0,,,50.60709592641261,43.0,,,779
Mandya,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,10.825657894736842,11.0,22.17763157894737,22.0,,,42.546052631578945,40.0,,,304
Mangalore,84.87348785871964,88.24,76.47,88.24,3.980715804806566,0.0,15.126512141280353,0,7.253259668508287,7.0,7.19320987654321,6.7,,,44.96136865342164,37.0,120.82185273159145,98.0,906
Mapusa,92.2598048780488,94.12,82.35,94.12,2.8587353163242484,69.26829268292683,7.715804878048781,1,8.62439024390244,10.0,11.261083743842365,12.0,33.67307692307692,30.0,60.04390243902439,64.0,24.00714285714286,24.06,205
Margao,93.94942028985508,94.12,82.35,94.12,1.4100463574882702,98.55072463768117,6.050579710144928,0,5.122549019607843,5.0,10.318627450980392,10.0,19.398058252427184,19.0,59.67632850241546,57.0,24.02692307692308,22.9,207
Margherita,88.24,88.24,88.24,88.24,0.0,0.0,11.76,0,8.75,8.0,18.37981220657277,16.0,,,70.41549295774648,55.0,,,426
Mathura,86.12743589743589,88.24,76.47,88.24,4.546087638894883,0.0,13.872564102564102,0,21.640625,21.0,26.703125,27.0,,,206.25641025641025,204.5,,,78
Meerut,84.97902046783625,88.24,58.81999999999999,94.12,6.2201609395402535,15.058479532163743,13.887938596491228,155,7.372951183402367,6.6,44.21315854258493,43.7,,,129.00992366412214,122.0,595.1351175985401,567.0,684
Mettur,88.90543209876543,88.24,88.24,94.12,1.8646971281996367,11.316872427983538,11.094567901234567,0,8.39917695473251,8.0,24.03909465020576,23.0,24.509090909090908,22.0,52.03909465020576,48.0,,,486
